Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
rgh_l,-8.68064398140689E-10,-1.51980072971014E-08,-0.0450599999999813,0,0,0,0.00142824832539143,5.69321872617725E-08,3.86138912762504E-08,-3.68250759258259E-14,9.46413921286592E-08,5.06625427150062E-14,1.4776491718929E-07,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rgh_l.STL,0.623529411764706,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rgh_l.STL,,RightGripperHorn-1,Coordinate System29,Axis_rgh_j,rgh_j,fixed,-0.120770998464503,0.0558699111080713,0.0234634523875007,1.57079728046925,0,-2.09439510239489,rw_l,0,0,0,10,3.142,-0.035,0.035,,,,,,,,
rg1_l,4.72999261980078E-09,-0.0256091657798483,-0.0120358705559017,0,0,0,0.0117431244965759,2.4486052915068E-06,-1.40202631170563E-15,-8.89361089452729E-15,2.75898867298407E-06,-2.03628151422309E-07,6.42365008370185E-07,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rg1_l.STL,0.686274509803922,0.56078431372549,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rg1_l.STL,,RightGripper1-1,Coordinate System29,Axis26,rg1_j,prismatic,0,0,0,0,0,0,rgh_l,0,0.999999999999545,0,10,3.142,-0.03,0.03,,,,,,,,
rg2_l,-7.81382680781206E-09,0.0256091676194598,-0.0120359147351881,0,0,0,0.0117431765451873,2.44859411870904E-06,2.78126112408768E-15,-1.38730464681003E-13,2.75897707157649E-06,2.03625568134498E-07,6.42366302275142E-07,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rg2_l.STL,0.686274509803922,0.56078431372549,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rg2_l.STL,,RightGripper2-1,Coordinate System29,Axis26,rg2_j,prismatic,0,0,0,0,0,0,rgh_l,0,0.999999999999545,0,10,3.142,-0.03,0.03,,,,,,,,
realsenseh1_l,-0.0449609466564241,7.25376489096874E-07,0.0151133255220893,0,0,0,0.203890122946862,0.000423961764732934,-2.08762193162602E-09,5.59401786984115E-05,0.000536333821763381,6.49193367613833E-09,0.000162710671203973,0,0,0,0,0,0,package://robotics_arm_v7/meshes/realsenseh1_l.STL,0.623529411764706,0.686274509803922,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/realsenseh1_l.STL,,RealsenseHolder-1,Coordinate System30,Axis_realsenseh1_j2,realsenseh1_j,fixed,0.06775,0.0398,0.405,1.5708,0,0,adjustable_l,0,0,0,10,3.142,,,,,,,,,,
realsenseh2_l,-0.00687615579553851,-0.00679299831589908,0.0418224984964636,0,0,0,0.0222524994955975,2.31866778392044E-05,5.81154101506231E-07,-4.67076723694309E-07,2.2762290756592E-05,6.33273497970673E-07,3.31304504553613E-06,0,0,0,0,0,0,package://robotics_arm_v7/meshes/realsenseh2_l.STL,0.56078431372549,0.686274509803922,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/realsenseh2_l.STL,,RealsenseHolder2-1,Coordinate System30,Axis27,realsenseh2_j,revolute,0,0,0,0,0,0,realsenseh1_l,0,0,-1,10,3.142,-3.142,3.142,,,,,,,,
realsense_l,0.00151345571552491,0.00138592325712506,0.0124771874730981,0,0,0,0.0365402881646665,2.34592367443954E-05,2.14455435114828E-07,1.02769530900619E-08,3.50869016386824E-06,2.56292679997949E-09,2.36680342685349E-05,0,0,0,0,0,0,package://robotics_arm_v7/meshes/realsense_l.STL,0.56078431372549,0.686274509803922,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/realsense_l.STL,,Realsense-1,Coordinate System31,,realsense_j,fixed,-0.0069921,-0.01016,0.0489,-1.5708,0,-0.36956,realsenseh2_l,0,0,0,10,0,,,,,,,,,,
lidar_l,-0.000142822926260363,-2.58164785617445E-06,0.0249081203803518,0,0,0,0.766457671949004,0.000910859809130455,5.54436273811402E-07,-3.18044995671849E-06,0.000881336804921903,-3.63739866376581E-08,0.00117656961590839,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lidar_l.STL,0.623529411764706,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lidar_l.STL,,LidarMount-1;Lidar-1,Coordinate System32,Axis29,lidar_j,fixed,0,0.000199999999989833,0.579999999999998,0,0,-0.0161869315321645,adjustable_l,0,0,0,10,3.142,,,,,,,,,,
lwheel_l,1.01853930845053E-09,-6.76459778747862E-08,0.0254710528356765,0,0,0,1.69879942146795,0.00498252293768665,6.02536211482866E-18,-3.81459627618635E-18,0.00498252293768663,3.66343204291378E-18,0.00898682058516614,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lwheel_l.STL,0.56078431372549,0.686274509803922,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lwheel_l.STL,,LeftWheel-1,Coordinate System5,Axis1,lwheel_j,continuous,0.14278,0.188,-0.066343,-1.5708,0,0,base_link,0,0,-1,10,3.142,,,,,,,,,,
rwheel_l,-1.01854397138723E-09,6.76459773613081E-08,0.0254710528356775,0,0,0,1.69879942146791,0.00498252293768652,-8.80587081161566E-21,1.09858672895423E-17,0.00498252293768652,1.41177864455746E-17,0.00898682058516594,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rwheel_l.STL,0.56078431372549,0.686274509803922,0.623529411764706,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rwheel_l.STL,,RightWheel-1,Coordinate System6,Axis2,rwheel_j,continuous,0.1426,-0.188,-0.066343,1.5708,0,0,base_link,0,0,-1,10,3.142,,,,,,,,,,
lcwh_l,0.00569397732540156,0.000449630329096701,0.0126207396796225,0,0,0,0.0309848441775965,1.48262622620214E-05,-2.66750451315109E-07,-4.32360581283878E-06,1.56276983252329E-05,-4.76969739653243E-07,1.46264348174785E-05,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lcwh_l.STL,0.56078431372549,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lcwh_l.STL,,LeftBWheelHolder-1,Coordinate System8,Axis4,lcwh_j,continuous,-0.32,0.14,-0.075,-3.1416,0,0,base_link,0,0,1,10,3.142,,,,,,,,,,
lcw_l,-3.27515792264421E-15,6.35602681597902E-15,3.00728394427574E-05,0,0,0,0.118994666157682,4.78034451283679E-05,4.35734114964764E-21,2.23934335430356E-19,4.78034451283679E-05,1.30713658641436E-20,8.10565840638532E-05,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lcw_l.STL,0.686274509803922,0.623529411764706,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/lcw_l.STL,,LeftBWheel-1,Coordinate System9,Axis5,lcw_j,continuous,0.0342518731258256,0.00105642477686074,0.0532330819301857,1.5707963267949,0,-3.1107595958271,lcwh_l,0,0,1,10,3.142,,,,,,,,,,
rcwh_l,-0.00424459293096369,0.00382142011879638,0.0126212000821554,0,0,0,0.0309867241954345,1.49823428406436E-05,4.14008179861313E-07,3.32162893829875E-06,1.5472974479325E-05,-2.80856258996986E-06,1.46266319452786E-05,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rcwh_l.STL,0.56078431372549,0.56078431372549,0.686274509803922,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rcwh_l.STL,,RightBWheelHolder-1,Coordinate System7,Axis3,rcwh_j,continuous,-0.319999999999998,-0.14,-0.0750000000000027,-3.14159265358977,0,0,base_link,0,0,1,10,3.142,,,,,,,,,,
rcw_l,-9.99200722162641E-16,-1.38777878078145E-15,-1.75728394292418E-05,0,0,0,0.118994666157685,4.78034451283695E-05,4.06588503099517E-22,6.7762635780344E-21,4.78034451283694E-05,-1.03076746621881E-18,8.10565840638558E-05,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rcw_l.STL,0.686274509803922,0.623529411764706,0.56078431372549,1,0,0,0,0,0,0,package://robotics_arm_v7/meshes/rcw_l.STL,,RightBWheel-1,Coordinate System10,Axis6,rcw_j,continuous,-0.0243390029462296,0.0241230135248261,0.0532347499168875,-1.57079632679494,0,-0.780941312299621,rcwh_l,0,0,-1,10,3.142,,,,,,,,,,
